image,scenario,engine,fuzzy,wer,cer,latency_s,status,detected_language
blurry_failure_case.jpg,Baseline,tesseract,False,1.0,1.0,3.2137,no_text_detected,
blurry_failure_case.jpg,Optimized,easyocr,True,1.0,1.0,2.3064,no_text_detected,
blurry_failure_case.jpg,Optimized,paddleocr,False,1.0,1.0,6.6178,no_text_detected,
sroie_000.jpg,Baseline,tesseract,False,0.7778,0.2426,2.9214,ok,en
sroie_000.jpg,Optimized,easyocr,True,1.2222,0.2794,7.3254,ok,en
sroie_000.jpg,Optimized,paddleocr,False,0.7778,0.3309,7.0104,ok,yo
sroie_001.jpg,Baseline,tesseract,False,1.625,0.9028,3.6801,ok,en
sroie_001.jpg,Optimized,easyocr,True,1.25,1.0972,6.3368,ok,en
sroie_001.jpg,Optimized,paddleocr,False,0.875,0.2778,3.6447,ok,en
sroie_002.jpg,Baseline,tesseract,False,0.9524,0.7969,3.7969,ok,en
sroie_002.jpg,Optimized,easyocr,True,1.1905,0.6016,6.5624,ok,en
sroie_002.jpg,Optimized,paddleocr,False,1.0,0.3984,3.3319,ok,en
sroie_003.jpg,Baseline,tesseract,False,0.8571,0.2152,3.8571,ok,en
sroie_003.jpg,Optimized,easyocr,True,1.7143,0.3165,7.5353,ok,en
sroie_003.jpg,Optimized,paddleocr,False,1.0,0.5949,3.4269,ok,en
sroie_004.jpg,Baseline,tesseract,False,1.0,1.0,4.3135,no_text_detected,
sroie_004.jpg,Optimized,easyocr,True,2.4375,0.8027,11.4385,ok,en
sroie_004.jpg,Optimized,paddleocr,False,1.0,0.3197,3.8987,ok,en
sroie_005.jpg,Baseline,tesseract,False,0.3636,0.022,3.8128,ok,en
sroie_005.jpg,Optimized,easyocr,True,1.7273,0.2418,4.9105,ok,en
sroie_005.jpg,Optimized,paddleocr,False,0.7273,0.0549,3.7485,ok,en
sroie_006.jpg,Baseline,tesseract,False,1.2,0.3925,2.9736,ok,en
sroie_006.jpg,Optimized,easyocr,True,0.8667,0.215,3.5546,ok,en
sroie_006.jpg,Optimized,paddleocr,False,0.8,0.1963,3.2013,ok,en
sroie_007.jpg,Baseline,tesseract,False,1.0,1.0,4.682,no_text_detected,
sroie_007.jpg,Optimized,easyocr,True,1.5833,0.5248,7.824,ok,en
sroie_007.jpg,Optimized,paddleocr,False,0.9167,0.2376,3.5553,ok,so
sroie_008.jpg,Baseline,tesseract,False,1.0,1.0,2.7242,no_text_detected,
sroie_008.jpg,Optimized,easyocr,True,0.7619,0.1888,3.5954,ok,en
sroie_008.jpg,Optimized,paddleocr,False,0.7619,0.2098,3.517,ok,en
sroie_009.jpg,Baseline,tesseract,False,6.0,4.5682,3.8623,ok,en
sroie_009.jpg,Optimized,easyocr,True,1.75,0.2955,4.3912,ok,en
sroie_009.jpg,Optimized,paddleocr,False,0.5,0.0909,3.0477,ok,tl
sroie_010.jpg,Baseline,tesseract,False,0.5385,0.2376,3.0328,ok,en
sroie_010.jpg,Optimized,easyocr,True,0.8462,0.1287,4.8261,ok,en
sroie_010.jpg,Optimized,paddleocr,False,1.0,0.2376,3.1686,ok,af
sroie_011.jpg,Baseline,tesseract,False,1.0,1.0,5.4622,no_text_detected,
sroie_011.jpg,Optimized,easyocr,True,0.6,0.3521,7.5049,ok,en
sroie_011.jpg,Optimized,paddleocr,False,0.6,0.3239,3.8935,ok,en
sroie_012.jpg,Baseline,tesseract,False,1.0,1.0,4.1944,no_text_detected,
sroie_012.jpg,Optimized,easyocr,True,2.7059,1.6596,14.2272,ok,en
sroie_012.jpg,Optimized,paddleocr,False,0.9412,0.1489,3.7535,ok,id
sroie_013.jpg,Baseline,tesseract,False,1.0,0.9078,4.1133,ok,en
sroie_013.jpg,Optimized,easyocr,True,2.0,1.0851,11.4669,ok,en
sroie_013.jpg,Optimized,paddleocr,False,1.0,0.4397,3.9553,ok,en
sroie_014.jpg,Baseline,tesseract,False,2.0,0.9916,3.7361,ok,en
sroie_014.jpg,Optimized,easyocr,True,2.4286,0.8487,14.5705,ok,en
sroie_014.jpg,Optimized,paddleocr,False,0.75,0.1008,3.9685,ok,en
sroie_015.jpg,Baseline,tesseract,False,1.0,1.0,4.5041,no_text_detected,
sroie_015.jpg,Optimized,easyocr,True,1.7273,0.2976,7.3922,ok,en
sroie_015.jpg,Optimized,paddleocr,False,0.9091,0.3452,3.9165,ok,en
sroie_016.jpg,Baseline,tesseract,False,0.7692,0.3604,3.3026,ok,en
sroie_016.jpg,Optimized,easyocr,True,1.0385,0.198,4.4974,ok,en
sroie_016.jpg,Optimized,paddleocr,False,0.8077,0.1218,3.6551,ok,en
sroie_017.jpg,Baseline,tesseract,False,0.8333,0.2972,4.3319,ok,en
sroie_017.jpg,Optimized,easyocr,True,1.25,0.4623,11.3998,ok,en
sroie_017.jpg,Optimized,paddleocr,False,0.9583,0.3019,4.4216,ok,en
